department,NACE,workforce
17,33.20,4.5
17,33.20,4.5
17,35.11,4.5
17,38.12,4.5
17,39.00,4.5
17,43.99,4.5
17,43.99,4.5
17,46.15,4.5
17,46.23,4.5
17,46.32,4.5
17,46.32,4.5
17,46.41,4.5
17,46.44,4.5
17,46.47,4.5
17,46.76,4.5
17,46.77,4.5
17,47.23,4.5
17,47.41,4.5
17,47.51,4.5
17,47.53,4.5
17,47.61,4.5
17,47.65,4.5
17,52.10,4.5
17,59.14,4.5
17,63.12,4.5
17,64.30,4.5
17,64.92,4.5
17,66.19,4.5
17,73.20,4.5
17,77.39,4.5
17,82.19,4.5
17,85.53,4.5
17,87.20,4.5
17,87.30,4.5
17,90.02,4.5
17,90.04,4.5
17,93.21,4.5
17,94.12,4.5
17,95.11,4.5
17,95.22,4.5
17,96.01,4.5
17,96.02,4.5
18,01.45,4.5
18,03.22,4.5
18,08.12,4.5
18,10.71,4.5
18,10.71,4.5
18,10.71,4.5
18,10.73,4.5
18,10.85,4.5
18,10.91,4.5
18,11.02,4.5
18,14.19,4.5
18,16.10,4.5
18,18.13,4.5
18,23.63,4.5
18,23.64,4.5
18,23.69,4.5
18,23.70,4.5
18,24.45,4.5
18,25.99,4.5
18,26.12,4.5
18,26.20,4.5
18,27.12,4.5
18,28.29,4.5
18,28.41,4.5
18,28.92,4.5
18,31.02,4.5
18,32.99,4.5
18,33.11,4.5
18,33.13,4.5
18,33.14,4.5
18,35.12,4.5
18,38.12,4.5
18,41.20,4.5
18,42.99,4.5
18,43.11,4.5
18,43.13,4.5
18,43.22,4.5
18,43.91,4.5
18,45.40,4.5
18,46.13,4.5
18,46.19,4.5
18,46.23,4.5
18,46.47,4.5
18,46.63,4.5
18,46.75,4.5
18,47.11,4.5
18,47.24,4.5
18,47.29,4.5
18,47.41,4.5
18,47.42,4.5
18,47.51,4.5
18,47.78,4.5
18,47.81,4.5
18,47.91,4.5
18,49.50,4.5
18,59.11,4.5
18,59.14,4.5
18,62.03,4.5
18,68.10,4.5
18,71.11,4.5
18,71.12,4.5
18,72.20,4.5
18,73.12,4.5
18,77.29,4.5
18,79.11,4.5
18,81.29,4.5
18,82.20,4.5
18,82.91,4.5
18,86.90,4.5
18,88.99,4.5
18,96.02,4.5
19,01.42,4.5
19,01.62,4.5
19,08.12,4.5
19,11.01,4.5
19,16.29,4.5
19,17.21,4.5
19,20.30,4.5
19,23.32,4.5
19,23.70,4.5
19,25.61,4.5
19,25.72,4.5
19,32.20,4.5
19,38.31,4.5
19,43.21,4.5
19,43.29,4.5
19,43.99,4.5
19,45.40,4.5
19,46.22,4.5
19,46.32,4.5
19,46.38,4.5
19,46.42,4.5
19,46.43,4.5
19,46.51,4.5
19,46.52,4.5
19,46.77,4.5
19,47.11,4.5
19,47.29,4.5
19,47.52,4.5
19,47.59,4.5
19,47.61,4.5
19,47.74,4.5
19,47.78,4.5
19,47.78,4.5
19,49.32,4.5
19,52.10,4.5
19,53.20,4.5
19,55.90,4.5
19,59.14,4.5
19,60.20,4.5
19,61.90,4.5
19,64.11,4.5
19,66.19,4.5
19,66.21,4.5
19,68.31,4.5
19,71.11,4.5
19,77.11,4.5
19,77.32,4.5
19,79.90,4.5
19,82.19,4.5
19,86.23,4.5
19,86.90,4.5
19,86.90,4.5
19,90.04,4.5
19,91.03,4.5
19,91.04,4.5
19,93.19,4.5
19,93.29,4.5
19,94.91,4.5
19,96.01,4.5
19,96.01,4.5
21,01.29,4.5
21,01.30,4.5
21,01.62,4.5
21,10.32,4.5
21,10.39,4.5
21,10.51,4.5
21,10.71,4.5
21,14.12,4.5
21,20.11,4.5
21,23.19,4.5
21,25.50,4.5
21,25.50,4.5
21,26.51,4.5
21,26.60,4.5
21,27.11,4.5
21,33.16,4.5
21,33.20,4.5
21,33.20,4.5
21,35.12,4.5
21,38.12,4.5
21,43.99,4.5
21,46.32,4.5
21,46.42,4.5
21,46.71,4.5
21,47.11,4.5
21,47.21,4.5
21,47.65,4.5
21,47.78,4.5
21,49.50,4.5
21,50.30,4.5
21,52.23,4.5
21,53.20,4.5
21,58.29,4.5
21,59.14,4.5
21,68.32,4.5
21,74.10,4.5
21,74.90,4.5
21,77.11,4.5
21,77.12,4.5
21,77.21,4.5
22,01.11,4.5
22,01.30,4.5
22,01.41,4.5
22,01.42,4.5
22,01.50,4.5
22,10.52,4.5
22,10.83,4.5
22,11.01,4.5
22,16.10,4.5
22,16.21,4.5
22,20.51,4.5
22,23.13,4.5
22,25.73,4.5
22,26.51,4.5
22,26.52,4.5
22,27.12,4.5
22,28.12,4.5
22,30.11,4.5
22,30.99,4.5
22,33.13,4.5
22,33.16,4.5
22,35.12,4.5
22,39.00,4.5
22,41.10,4.5
22,43.39,4.5
22,43.99,4.5
22,45.40,4.5
22,46.17,4.5
22,46.32,4.5
22,46.51,4.5
22,46.62,4.5
22,46.63,4.5
22,46.72,4.5
22,47.25,4.5
22,47.41,4.5
22,47.53,4.5
22,47.63,4.5
22,47.72,4.5
22,47.74,4.5
22,47.78,4.5
22,47.99,4.5
22,49.20,4.5
22,61.20,4.5
22,62.09,4.5
22,64.30,4.5
22,64.92,4.5
22,68.10,4.5
22,71.12,4.5
22,71.20,4.5
22,72.11,4.5
22,77.39,4.5
22,79.12,4.5
22,90.03,4.5
22,93.19,4.5
22,96.02,4.5
23,10.71,4.5
23,10.71,4.5
23,10.71,4.5
23,10.91,4.5
23,22.21,4.5
23,22.29,4.5
23,23.61,4.5
23,25.61,4.5
23,28.29,4.5
23,29.20,4.5
23,31.03,4.5
23,32.50,4.5
23,33.11,4.5
23,33.12,4.5
23,33.14,4.5
23,41.20,4.5
23,42.21,4.5
23,43.29,4.5
23,43.31,4.5
23,43.32,4.5
23,43.34,4.5
23,43.99,4.5
23,43.99,4.5
23,45.31,4.5
23,46.34,4.5
23,46.46,4.5
23,46.69,4.5
23,47.11,4.5
23,47.30,4.5
23,47.52,4.5
23,47.64,4.5
23,49.42,4.5
23,55.90,4.5
23,56.10,4.5
23,56.30,4.5
23,58.13,4.5
23,64.11,4.5
23,64.20,4.5
23,69.10,4.5
23,70.22,4.5
23,71.12,4.5
23,79.11,4.5
23,81.30,4.5
23,82.20,4.5
23,86.22,4.5
23,86.90,4.5
23,87.20,4.5
23,96.02,4.5
24,01.42,4.5
24,01.47,4.5
24,01.49,4.5
24,01.50,4.5
24,01.62,4.5
24,02.40,4.5
24,10.13,4.5
24,10.71,4.5
24,10.84,4.5
24,11.02,4.5
24,13.94,4.5
24,14.13,4.5
24,16.22,4.5
24,17.23,4.5
24,20.30,4.5
