"annee","departement","naf","taille","nombre",
2018,"01","81.10Z","11",1,"81"
2018,"01","81.21Z","11",15,"81"
2018,"01","81.22Z","11",8,"81"
2018,"01","81.29A","11",1,"81"
2018,"01","81.30Z","11",14,"81"
2018,"01","82.19Z","11",1,"82"
2018,"01","82.20Z","11",1,"82"
2018,"01","82.30Z","11",2,"82"
2018,"01","82.92Z","11",4,"82"
2018,"01","82.99Z","11",4,"82"
2018,"01","84.11Z","11",140,"84"
2018,"01","84.12Z","11",10,"84"
2018,"01","84.13Z","11",9,"84"
2018,"01","84.23Z","11",1,"84"
2018,"01","85.10Z","11",37,"85"
2018,"01","85.20Z","11",103,"85"
2018,"01","85.32Z","11",2,"85"
2018,"01","85.42Z","11",4,"85"
2018,"01","85.52Z","11",2,"85"
2018,"01","85.53Z","11",6,"85"
2018,"01","85.59A","11",6,"85"
2018,"01","85.59B","11",1,"85"
2018,"01","86.10Z","11",6,"86"
2018,"01","86.21Z","11",2,"86"
2018,"01","86.22A","11",2,"86"
2018,"01","86.22C","11",4,"86"
2018,"01","86.23Z","11",5,"86"
2018,"01","86.90A","11",11,"86"
2018,"01","86.90B","11",8,"86"
2018,"01","86.90D","11",7,"86"
2018,"01","86.90F","11",1,"86"
2018,"01","87.10A","11",1,"87"
2018,"01","87.10B","11",4,"87"
2018,"01","87.20A","11",2,"87"
2018,"01","87.30A","11",3,"87"
2018,"01","87.90A","11",6,"87"
2018,"01","87.90B","11",6,"87"
2018,"01","88.10A","11",11,"88"
2018,"01","88.10B","11",4,"88"
2018,"01","88.10C","11",1,"88"
2018,"01","88.91A","11",17,"88"
2018,"01","88.91B","11",3,"88"
2018,"01","88.99A","11",1,"88"
2018,"01","88.99B","11",18,"88"
2018,"01","90.01Z","11",3,"90"
2018,"01","90.02Z","11",1,"90"
2018,"01","90.04Z","11",1,"90"
2018,"01","91.03Z","11",2,"91"
2018,"01","91.04Z","11",1,"91"
2018,"01","93.11Z","11",2,"93"
2018,"01","93.12Z","11",6,"93"
2018,"01","93.19Z","11",1,"93"
2018,"01","93.21Z","11",1,"93"
2018,"01","93.29Z","11",11,"93"
2018,"01","94.11Z","11",2,"94"
2018,"01","94.12Z","11",2,"94"
2018,"01","94.91Z","11",1,"94"
2018,"01","94.99Z","11",25,"94"
2018,"01","96.02A","11",6,"96"
2018,"01","96.09Z","11",3,"96"
2018,"02","01.11Z","11",2,"01"
2018,"02","01.13Z","11",3,"01"
2018,"02","01.21Z","11",2,"01"
2018,"02","01.24Z","11",1,"01"
2018,"02","01.47Z","11",1,"01"
2018,"02","01.61Z","11",6,"01"
2018,"02","02.20Z","11",4,"02"
