,src,dest,weight
5373,01.43,20.59,0.7741002258813916
5544,01.44,01.49,0.7910836944048873
5549,01.44,03.11,0.7738022377453024
5550,01.44,03.12,0.7738022377453024
5551,01.44,03.21,0.9969815972766
5552,01.44,03.22,0.9969815972766
5806,01.45,01.24,0.7597534197872835
5821,01.45,01.50,0.7685797942432825
6115,01.46,08.92,0.7566237547508563
6118,01.46,10.11,0.7697528055445855
6372,01.47,01.49,0.8603026717819573
6396,01.47,10.13,0.7836349555585033
6423,01.47,11.05,0.7756536355759642
6507,01.47,23.69,0.784112960353649
6527,01.47,25.21,0.770712299214783
6534,01.47,25.91,0.7618225198509849
6535,01.47,25.92,0.7778213188348686
6554,01.47,27.33,0.7822644623243379
6613,01.47,58.13,0.7507653510463906
6614,01.47,58.14,0.7507653510463906
6626,01.49,01.13,0.7609932550548737
6641,01.49,01.41,0.7775590727814595
6642,01.49,01.42,0.7792281713984106
6644,01.49,01.44,0.7910836944048873
6647,01.49,01.47,0.8603026717819573
6649,01.49,01.50,0.756329578696072
6651,01.49,02.20,0.7529695370571652
6655,01.49,03.21,0.7728651567143618
6656,01.49,03.22,0.7728651567143618
6668,01.49,08.93,0.7650439415180312
6672,01.49,10.13,0.7807730123866343
6674,01.49,10.31,0.7717462399333788
6676,01.49,10.39,0.7874582148767801
6677,01.49,10.41,0.7611958949940374
6680,01.49,10.52,0.7552609596666272
6681,01.49,10.61,0.7872122519296447
6683,01.49,10.71,0.7745267703399357
6684,01.49,10.72,0.7745267703399357
6686,01.49,10.81,0.7541436146634983
6692,01.49,10.89,0.7507216712772755
6699,01.49,11.05,0.7783594966886103
6702,01.49,12.00,0.7737716576593516
6723,01.49,16.10,0.7519815743594928
6731,01.49,17.21,0.7595834175940266
6760,01.49,22.22,0.759805978475411
6777,01.49,23.52,0.757345931774345
6783,01.49,23.69,0.7686165993276939
6810,01.49,25.91,0.7825361621678312
6811,01.49,25.92,0.7565930777956685
6900,01.50,01.11,0.9457972217342872
6902,01.50,01.13,0.7650988436526212
6917,01.50,01.41,0.8210237160422726
6918,01.50,01.42,0.8225434660620452
6921,01.50,01.45,0.7685797942432825
6924,01.50,01.49,0.756329578696072
6953,01.50,10.41,0.8312149653915549
6962,01.50,10.81,0.7893854587089404
6975,01.50,11.05,0.7547027042207779
6999,01.50,16.10,0.7530607571412034
7019,01.50,20.15,0.7841532132275253
7178,02.10,01.13,0.8593134462366823
7182,02.10,01.19,0.9791193966196907
7187,02.10,01.25,0.9688820104853227
7192,02.10,01.30,0.7516883917233697
7469,02.20,01.41,0.7661637208202893
7470,02.20,01.42,0.7648641772042
7476,02.20,01.49,0.7529695370571652
7551,02.20,16.10,0.9755045940160005
7552,02.20,16.21,0.827359868717694
7553,02.20,16.22,0.7874799725640433
7554,02.20,16.23,0.7679175068188906
7556,02.20,16.29,0.7510648831041997
7571,02.20,20.15,0.7963847975819245
7606,02.20,23.61,0.7524679466295152
7709,02.20,35.11,0.7789855533302071
7741,02.30,01.27,0.784955045449949
7743,02.30,01.29,0.8942182133528911
